"anex_xml_id","anex_api_id","anex_name","anytour_candidate_id","anytour_candidate_name","review_status","algorithm_status","distance_m","reason","applied"
"43689","43689","Radisson Blu Hotel Kas","83221","RADISSON BLU HOTEL KAS","needs_review","probable","","Совпадают название, страна и город Каш; у Анекса нет адреса и координат.","false"
"30160","30160","Грейс Кристалл","40430","ГРЕЙС КРИСТАЛЛ (EX. КРИСТАЛЛ)","confident","confirmed","12.5","Название с прежним вариантом, та же страна/Адлер; координаты отличаются на 12,5 м.","false"
"30536","30536","Hotel Historia","17469","HISTORIA HOTEL","confident","confirmed","21.3","Переставлены слова Hotel/Historia; совпадают страна и район, расстояние 21,3 м.","false"
"464","464","Domina Coral Bay Harem","185","DOMINA CORAL BAY HAREM JUNIOR SUITE","needs_review","probable","158.3","У AnyTour уточнение Junior Suite; требуется проверить границы карточки комплекса Harem.","false"
"465","465","Dreams Beach Resort & Aqua Park Sharm El Sheikh","195","DREAMS BEACH","needs_review","unmatched","96.4","Кандидат DREAMS BEACH: название сокращено, Хадаба/El Fanar, расстояние 96,4 м. Порог алгоритма не пройден; это не отсутствие отеля.","false"
"466","466","Four Seasons Resort Sharm El Sheikh","218","FOUR SEASONS RESORT SSH","needs_review","probable","52.4","У AnyTour сокращение SSH; обе записи относятся к Шарм-эль-Шейху, улица Four Seasons Boulevard, 52,4 м.","false"
"468","468","Retac Qunay Dahab Resort & Spa","295","RETAC QUNAY RESORT & SPA (EX. LE MERIDIEN DAHAB RESORT)","needs_review","probable","45.5","Различаются сокращение, прежнее название и уровни географии; Al Tahrir, 45,5 м.","false"
"469","469","Jaz Sharm Dreams","245","JAZ SHARM DREAMS RESORT","confident","confirmed","143","Совпадают основное название, страна и Наама Бей; 143 м.","false"
"470","470","Taba Hotel & Nelson Village Taba (Ex. Hilton Taba)","252","TABA HOTEL & NELSON VILLAGE (EX. HILTON)","confident","confirmed","48.6","Совпадают основное и прежнее названия, страна/Таба; 48,6 м.","false"
"472","472","Park Regency Resort (Ex. Hyatt Regency Sharm El Sheikh)","260","PARK REGENCY SHARM EL SHEIKH (EX. HYATT REGENCY SSH)","confident","confirmed","0","Совпадают текущее/прежнее названия и координаты; 0 м.","false"
